Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
Tainted Grail: Conquest,"Action, Indie, RPG",$19.99,Questline,May 27 2021,n/a,90.0,6619
Redeemer: Enhanced Edition,"Action, Indie",$9.99,Sobaka Studio,Aug 1 2017,n/a,86.0,2392
String Tyrant,"Adventure, Indie",$4.99,Bottled Starlight,May 8 2020,n/a,100.0,17
Trivia Vault: Video Game Trivia Deluxe,Casual,$14.99,Ripknot Systems,Oct 24 2017,n/a,57.0,66
qop,"Casual, Indie",$1.99,Quiet River,Jul 13 2017,n/a,91.0,1006
Kamikaze Lassplanes,"Action, Adventure, Indie",$19.99,Inky Dreams,Aug 30 2024,n/a,95.0,20
Robovenger,"Adventure, Indie",$4.99,Fursin,Mar 10 2022,n/a,80.0,10
Sound of Slash,"Action, Indie, Free To Play, Early Access",Free To Play,Ussistant Studio,Aug 31 2024,n/a,100.0,12
Kamile: The Fall,"Action, Adventure, Indie",$4.99,Bartosh Polonski,Mar 16 2020,n/a,73.0,19
Tinkertown,"Adventure, Indie, RPG",$16.99,Headup,Jun 22 2023,n/a,66.0,926
Myths Of Orion: Light From The North,"Adventure, Indie",$14.99,Cateia Games,Dec 3 2014,n/a,80.0,41
Bleeding Hunt VR Chap.1,Action,$2.99,XAC Inc.,Mar 18 2019,n/a,63.0,60
"The Princess, the Stray Cat, and Matters of the Heart 2","Adventure, Casual",$19.99,TOKYOTOON,Nov 8 2019,n/a,93.0,147
The Art of Fight | 4vs4 Fast-Paced FPS,"Action, Indie",Free To Play,raptor lab,Feb 17 2017,n/a,67.0,357
Project RIP,"Action, Indie, RPG",$13.99,Storming Tech,Oct 12 2019,n/a,60.0,113
Wyvia: Prologue,"Action, Adventure, Casual, Indie, RPG",Free,Blast Programming,Apr 30 2023,n/a,96.0,61
Food Fighter Clicker Games,Simulation,Free To Play,Newry Games,Aug 22 2023,n/a,78.0,140
Knockout City - Private Server Edition,"Action, Adventure, Sports, Free To Play",Free,Velan Studios,May 24 2024,n/a,70.0,31
The Aquarians,"Casual, Free To Play",Free,Logan Head,Apr 26 2024,n/a,92.0,13
Magical Bakery,"Action, Casual, Indie",$19.99,SUPERLUMEN,Nov 6 2024,n/a,83.0,30
An Odyssey: Echoes of War,"Adventure, Casual, Indie, RPG",$6.99,Choice of Games,Dec 26 2019,n/a,75.0,12
XLarn,"Indie, RPG",$4.99,Swinfjord-Games,May 25 2015,n/a,74.0,31
Robin's Quest,Adventure,$3.99,Gogii Games,Apr 17 2014,n/a,84.0,100
Lodestar,"Adventure, Indie, RPG, Simulation, Strategy",$29.99,Edenic Era LLC,Aug 17 2023,n/a,71.0,69
Pax Nova,"Indie, Strategy",$24.99,Grey Wolf Entertainment,Apr 28 2020,n/a,55.0,373
Cannibal Cuisine,"Action, Adventure, Casual, Indie, Simulation",$12.99,Rocket Vulture,May 20 2020,n/a,86.0,104
Across the Wonderlands - Appetizer Demo,"Action, Adventure, Indie",[],Covenant.dev,Oct 13 2024,n/a,92.0,13
Marble Run 2D,"Indie, Simulation",$5.99,PS Games,Feb 13 2018,n/a,73.0,15
Boom 3D Windows: Experience 3D surround sound in games,"Audio Production, Utilities",$16.99,Global Delight Technologies Pvt. Ltd.,Aug 26 2019,n/a,84.0,675
My Bunny Girl,"Casual, Indie",$0.99,Hunny Bunny Studio,Aug 8 2022,n/a,68.0,82
SGS Afrika Korps,"Simulation, Strategy",$24.99,Strategy Game Studio,Nov 12 2020,n/a,81.0,66
Twins of the Pasture,"Adventure, Simulation",$7.99,Dieselmine,Jul 19 2017,n/a,74.0,281
M.A.S.S. Builder,"Action, Indie, RPG, Strategy, Early Access",$24.99,Vermillion Digital,Sep 13 2019,n/a,88.0,3469
Purrfectly Hidden Cats - Kittenwood,Casual,$1.29,"Gemcraft Games, Bleeding Moon Studio",Jul 18 2023,n/a,98.0,164
Nexoria: Dungeon Rogue Heroes,"Adventure, Indie, RPG, Strategy",$4.99,TERNOX,Jan 5 2020,n/a,68.0,51
Auto Kitchen,"Casual, Indie, Simulation",$9.99,Architect Studios,Jun 12 2020,n/a,62.0,16
Last Dream,"Indie, RPG",$9.99,White Giant RPG Studios,Mar 13 2014,n/a,83.0,424
Beasts of Burden,"Indie, RPG, Free To Play",Free,"Studio Dread LLC, Ram99",Apr 6 2022,n/a,77.0,101
Arlo The Rabbit,"Action, Adventure, Indie",$1.99,Joshimations,May 23 2018,n/a,94.0,17
Eat Colors,"Action, Adventure, Indie, Free To Play",Free To Play,Icy Mountain Studios,Jun 15 2022,n/a,95.0,23
The World of Labyrinths: Labyronia,"Adventure, Indie, RPG",$0.99,Labyrinthine,Jun 1 2018,n/a,78.0,28
Into A Dream,"Adventure, Casual, Indie",$11.99,Filipe F. Thomaz,Jul 30 2020,n/a,89.0,47
Project Root,"Action, Indie",$9.99,OPQAM,May 1 2014,n/a,46.0,56
Kamiwaza: Way of the Thief,Action,$39.99,ACQUIRE Corp.,Oct 11 2022,n/a,87.0,41
Ahnayro: The Dream World,"Adventure, Casual, Indie, Strategy",$4.99,Alice & Smith,Jun 10 2016,n/a,87.0,208
Robo Miner,"Casual, Indie",$3.99,reiti.net,Nov 1 2013,n/a,85.0,27
Mighty Switch Force! Academy,"Action, Indie, Strategy",$9.99,WayForward,Nov 23 2015,n/a,81.0,38
Pow! 2,"Casual, Indie, Simulation, Strategy",$0.99,The 25th Studio,Mar 7 2022,n/a,100.0,17
Panzer Dragoon: Remake,"Action, Adventure, Casual",$24.99,MegaPixel Studio S. A.,Sep 25 2020,n/a,79.0,691
Wanted Killer VR,"Action, Indie, Early Access",$9.99,Playsnak,May 23 2018,n/a,79.0,109
Mist Slayer,"Action, Indie, RPG",$17.99,Moju Games,Aug 17 2023,n/a,67.0,304
Eidolon,"Adventure, Indie",$15.00,"Badru, Michael Bell, Zoe Vartanian, Adam Murgittroyd, Meagan Malone, Jeffrey Klinicke, Shadie Hijazi, Jacob Leach, Aron Miller, Isa Hutchinson",Aug 1 2014,n/a,72.0,202
Top Villain: Total Domination,"Casual, Indie, RPG",$5.99,Choice of Games,Aug 17 2023,n/a,76.0,21
1931: Scheherazade at the Library of Pergamum,"Casual, Indie, RPG, Simulation",$1.99,"Black Chicken Studios, inc.",Mar 26 2015,n/a,71.0,171
Golazo! 2,Sports,$14.99,Purple Tree S R L,Aug 31 2022,n/a,75.0,92
Psi Cards,"Casual, Indie",$0.99,IR Studio,Mar 19 2018,n/a,45.0,33
RIP,"Action, Indie, Simulation, Early Access",$19.99,Inverted Souls,Sep 11 2019,n/a,46.0,13
County Hospital 2,"Action, Adventure, Indie, Strategy",$4.99,LFR games,Oct 3 2022,n/a,18.0,11
Draw Slasher,"Action, Adventure, Indie",$1.99,Mass Creation,Oct 13 2016,n/a,74.0,163
Yolk Heroes: A Long Tamago,"Casual, Indie",$7.99,14 Hours Productions,May 20 2024,n/a,94.0,493
Backroom Company,"Adventure, Indie, Early Access",$9.99,Hypercent Inc.,Oct 27 2024,n/a,88.0,60
Zombie Season,"Action, Casual, Indie, Early Access",Free To Play,Nic Schubert,Dec 18 2019,n/a,62.0,16
ESCAPE POINT,"Action, Adventure, Casual, Free To Play, Indie",Free To Play,ONEIMMERS CO.. LTD.,May 21 2020,n/a,51.0,29
Black Hole Hazard,"Action, Indie",$4.99,Superthumb,Aug 29 2016,n/a,76.0,17
Walter Walnut,"Action, Adventure, Indie",$2.99,Codeer,Aug 29 2024,n/a,94.0,34
Aegis,"Action, Indie",$2.99,Innuendo Squad Studios,Oct 6 2016,n/a,50.0,16
Dance Eden,"Action, Casual, Indie, Sports, Early Access",$19.99,DigiEden,Aug 19 2024,n/a,88.0,26
Streets of Rage,Action,$0.99,SEGA,Jan 26 2011,n/a,100.0,13
Breach & Clear: Deadline Rebirth (2016),"Action, Indie, RPG, Strategy",$9.99,"Mighty Rabbit Studios, Gun Media",Jul 20 2015,n/a,53.0,704
It's Only Money,"Action, Indie, RPG, Simulation",$24.99,Usual Suspects Studios,Oct 21 2024,n/a,83.0,377
Coma: Mortuary,"Adventure, Indie",$5.99,Naga Entertainment,May 12 2014,n/a,53.0,692
The Bluecoats: North & South,"Action, Strategy",$14.99,Appeal Studios,Nov 5 2020,n/a,61.0,131
Breakout 13,"Adventure, Indie, RPG",$9.99,ALT Lab,Jan 8 2023,n/a,87.0,6536
WeakWood Throne,"Action, Indie, RPG",$4.99,waterxmelon,Jan 30 2018,n/a,68.0,45
Trajectory Fracture,Indie,Free To Play,Icepick,Dec 25 2020,n/a,100.0,11
Indiecalypse,"Action, Adventure, Casual, Indie",$12.99,JanduSoft,May 29 2020,n/a,45.0,22
Dreamlike Love with Seira,"Casual, Indie",$6.99,るび様崇める会,Aug 23 2024,n/a,98.0,516
Sunrise's Order,"Adventure, Casual, Indie, Simulation",$17.99,Misstic Studio,May 22 2024,n/a,93.0,43
Forged of Blood,"Adventure, Indie, RPG, Strategy",$14.99,Critical Forge,Aug 1 2019,n/a,62.0,99
Kyle is Famous: Complete Edition,"Adventure, Casual, Indie, Simulation",$9.99,John Szymanski,Nov 18 2019,n/a,96.0,165
Satisfactory Modeler,Free To Play,Free To Play,David Price,Sep 17 2024,n/a,96.0,269
Wicked Arcana,"Action, Adventure, Indie, RPG, Free To Play, Early Access",Free To Play,"Novus Studio, Zygobot",Jun 28 2024,n/a,100.0,11
Auto Auto: Maximum Autodrive In The Alien Apocalypse,"Action, Casual, Indie",$4.99,"Gnaw Paw Studios, LLC",Mar 7 2024,n/a,100.0,10
Secret Little Haven,"Adventure, Indie",$4.99,Hummingwarp Interactive,Feb 27 2018,n/a,98.0,387
Killjoy Hunter Yuuko,Action,$2.99,minori,Oct 17 2019,n/a,96.0,30
Wetory,"Action, Adventure, Indie, Strategy",$10.99,PepperStones,Oct 25 2023,n/a,90.0,10
"The Sinking Structure, Clione, and Lost Child -Log1","Adventure, Free To Play",Free,MATRE,Feb 16 2022,n/a,93.0,15
Forged Battalion,"Indie, Simulation, Strategy",$9.99,Petroglyph,Aug 14 2018,n/a,63.0,759
TRIP Steam Edition,"Adventure, Casual, Indie, Simulation",$0.99,TRIP,Jun 19 2015,n/a,51.0,31
She Remembered Caterpillars,Indie,$11.99,jumpsuit entertainment UG (haftungsbeschränkt),Jan 17 2017,n/a,96.0,155
Banzai Escape 2: Subterranean,"Action, Early Access",Free To Play,XenoAisam,Oct 29 2021,n/a,81.0,739
NINJA SLAYER NEO-SAITAMA IN FLAMES(ニンジャスレイヤー ネオサイタマ炎上),"Action, Adventure, Indie",$19.99,Skeleton Crew Studio,Jul 23 2024,n/a,41.0,153
Insexsity,"Action, Adventure, Indie, Simulation",$9.99,Insexsity_team,Oct 2 2020,n/a,79.0,67
Sacabambaspis Chronicle,"Action, Adventure, Casual, Indie, RPG",$2.99,KIMIDORI SOFT,Nov 2 2023,n/a,88.0,63
Anarchy Arcade,"Casual, Free To Play, Indie, Early Access",Free,Elijah Newman-Gomez,Sep 3 2014,n/a,68.0,2213
Tank Battle: Pacific,Strategy,$9.99,HexWar Games,Jul 27 2017,n/a,85.0,14
Paranormal place,"Adventure, Indie, Simulation",$5.99,ASK_GAMES,Jul 24 2024,n/a,70.0,30
President for a Day - Floodings,"Casual, Indie, Strategy",$4.99,Serious Games Interactive,Aug 12 2015,n/a,73.0,53
Hunter's Legacy,"Action, Adventure, Indie",$6.99,Lienzo,Jul 19 2016,n/a,76.0,38
Aztecalypse,"Action, Adventure, Indie",$0.99,Displacement Studios,Nov 11 2016,n/a,48.0,29
Math Path Builder,"Casual, Indie, Strategy, Free To Play",Free To Play,Germapur Apps,Mar 28 2024,n/a,90.0,10
Hypnotic Idol,Simulation,$19.99,azucat,Jun 18 2024,n/a,75.0,114
Pillar,"Adventure, Indie",$7.99,"Michael Hicks, Gonçalo Antunes",May 29 2015,n/a,91.0,12
Magic Tower,"Indie, RPG, Strategy, Early Access",$0.99,夕,Feb 1 2018,n/a,66.0,18
Daily Dadish,"Action, Indie",$9.99,Thomas K. Young,Feb 7 2023,n/a,90.0,20
Ethyrial: Echoes of Yore,"Adventure, Indie, Massively Multiplayer, RPG",Free,Oath Games,May 1 2023,n/a,35.0,1001
Operation DogFight,"Action, Casual, Indie, Simulation",Free,"Petricore, Inc.",Oct 13 2021,n/a,84.0,13
DarkDIRE: The Advanced Set,"Indie, RPG",$3.99,CounterParry,Dec 10 2018,n/a,86.0,15
Little Lives,"Indie, Simulation",$12.99,Houndstooth Games,Mar 8 2024,n/a,82.0,232
Greedy Goblin,"Adventure, Casual, Free To Play, Indie",Free,"Loot 'n Scoot Studios, LLC",Apr 26 2021,n/a,80.0,92
Chicago Project,"Indie, RPG",$5.99,Cyrivan Zhao,Sep 13 2024,n/a,100.0,11
9.03m,Indie,Free To Play,Space Budgie,Sep 12 2013,n/a,83.0,1121
FatalZone: Outbreak,"Action, Casual, Indie, RPG, Free To Play",Free,Midhard Games,Sep 25 2023,n/a,76.0,289
Stars SLIDE,"Casual, Indie",$0.99,Sprovieri Games,Jun 18 2021,n/a,75.0,20
Viltnemda,"Adventure, Free To Play",Free,Not In Kansas Games,Jun 23 2022,n/a,82.0,244
As Far As The Eye,"Indie, Simulation, Strategy",$24.99,Unexpected,Sep 10 2020,n/a,73.0,1588
Romance in the Cityscape,"Casual, Indie, RPG, Simulation",$4.69,Romance Games,Feb 27 2024,n/a,63.0,11
Warlords Battlecry: The Protectors of Etheria,"RPG, Strategy",Free,"Infinite Interactive, Warlords Battlecry Fan Community, The Protectors Modding Team",Dec 24 2023,n/a,74.0,89
Crystalline,"Action, Adventure, Indie, RPG, Simulation",$19.99,PixelFade,Aug 22 2018,n/a,94.0,1255
Obscura,"Casual, Free To Play, Indie, Strategy",Free To Play,"Griffon Hanson, Ty Morrow",Aug 6 2021,n/a,87.0,24
Burning Ball,"Casual, Indie",$24.99,Laush Dmitriy Sergeevich,Mar 26 2021,n/a,90.0,11
Infected Battlegrounds,"Action, Indie, Early Access",$4.99,Xefier Games Inc.,Aug 2 2018,n/a,50.0,34
Maximum Football,"Simulation, Sports, Free To Play, Early Access",Free To Play,Maximum Entertainment,Nov 7 2024,n/a,68.0,315
Aokana - Four Rhythms Across the Blue,"Adventure, Casual",$34.99,"sprite, NekoNyan Ltd.",Sep 27 2019,n/a,97.0,4226
Astrologaster,"Adventure, Casual, Indie",$9.99,Nyamyam,May 9 2019,n/a,94.0,416
SiNiSistar Lite Version,"Action, Adventure, Indie",$4.99,Uu,Nov 29 2021,n/a,88.0,478
Mech Rage,"Action, Indie",$9.99,Drageus Games S.A.,Dec 14 2018,n/a,50.0,10
I was here,"Adventure, Casual, Indie",$5.49,Okinawa Sunrise,Oct 5 2017,n/a,53.0,13
Nightmare Game (噩梦游戏),"Adventure, Casual, Indie, RPG",$0.99,两拳漫画,Jul 19 2019,n/a,27.0,11
Fury of Dracula: Digital Edition,"Indie, Strategy",$12.99,Nomad Games,Nov 12 2020,n/a,70.0,191
Cardinal Chains,"Casual, Indie",$2.99,Daniel Nora,Sep 9 2021,n/a,92.0,14
Yakuza 3 Remastered,"Action, Adventure",$19.99,Ryu Ga Gotoku Studio,Jan 28 2021,n/a,80.0,6334
RegicideX,"Action, Free To Play",Free To Play,Dream Slash,Sep 20 2023,n/a,53.0,15
GearCity,"Indie, Simulation, Strategy",$19.99,Visual Entertainment And Technologies,Jan 14 2022,n/a,88.0,1272
Wrong Bullet,Action,$29.99,Galactic Geckon,Jul 10 2024,n/a,89.0,73
Taora : Survival,"Action, Adventure, RPG, Simulation, Early Access",$13.99,Tulpar Games,May 23 2024,n/a,67.0,222
Surprise Party!,"Adventure, Indie, RPG",Free To Play,Dylan Radovnikovic,Jun 30 2020,n/a,70.0,10
Trizna Demo,Indie,[],Leniv i Bezdaren,Mar 27 2024,n/a,100.0,20
Post Master,"Casual, Indie, Simulation",$4.99,Excalibur,Mar 7 2014,n/a,48.0,156
The Romance of the Three Kingdoms: Legend of Shu Han,"Indie, RPG, Strategy",$4.99,RimmindGame,Jul 2 2023,n/a,61.0,26
Jurassic mahjong,Casual,$4.99,Creobit,May 16 2021,n/a,60.0,10
Filly Astray,Action,$9.99,Bit Assembly,Nov 2 2023,n/a,89.0,112
MDF: Magical Defense Force,Adventure,$8.99,Making Delightful Fiction,Mar 17 2023,n/a,100.0,11
Imperium Romanum Gold Edition,"Simulation, Strategy",$9.99,Haemimont Games,Oct 30 2008,n/a,84.0,303
Dead Cells,"Action, Adventure, Indie",$24.99,Motion Twin,Aug 6 2018,n/a,97.0,136456
Sword and Spirit,"Adventure, Free To Play",Free To Play,"Ashley Roesler, Cody Dowell, Weston Straw, Ashton Damrel",Jun 6 2020,n/a,76.0,13
Tomb of Tyrants,"Casual, Indie, Strategy",$7.99,Jake Huhman,Jun 25 2015,n/a,79.0,228
Return to Planet X,"Action, Adventure, Indie",$9.99,Butterflyware,Sep 7 2018,n/a,61.0,18
Final Factory,"Simulation, Strategy, Early Access",$18.99,Never Games Limited,Apr 9 2024,n/a,81.0,215
Alchemic Dungeons DX,RPG,$7.99,Q-Cumber Factory,Feb 14 2019,n/a,89.0,19
VERLIES II,"Adventure, Indie, RPG",$2.99,Koya Game,Sep 25 2015,n/a,61.0,106
The Last Archwing,"Action, Adventure, Casual, Indie",$4.99,Archwing Entertainment,Mar 27 2020,n/a,100.0,13
Springs of Ardor,Casual,$19.99,FullFrontalBeef,May 7 2024,n/a,100.0,20
PITCH-HIT ARCADE,"Action, Indie, Simulation, Sports, Strategy",$9.99,Viewer Ready,Sep 23 2016,n/a,80.0,20
Ashes of Immortality II,"Adventure, Casual, Indie, RPG",$6.99,Warfare Studios,Aug 28 2015,n/a,46.0,47
Jewel Match Solitaire Collector's Edition,"Casual, Indie",$12.99,Suricate Software,Nov 19 2020,n/a,82.0,17
LEGO® Brawls,"Action, Casual",$9.99,Red Games Co.,Sep 2 2022,n/a,78.0,447
Bad Hop Baseball,"Casual, Indie, Sports",$1.99,Dan Dectis,Feb 21 2023,n/a,94.0,17
Futanari girlfriends ⚧👧🍆,"Adventure, Casual, Indie, Simulation, Strategy",$2.99,Futanari Studio,Sep 22 2023,n/a,81.0,38
Bravery and Greed,"Action, Adventure, Indie",$19.99,Rekka Games,Nov 15 2022,n/a,77.0,502
Content,"Adventure, Casual, Indie",$0.99,UKZ Arts,Feb 4 2022,n/a,91.0,37
Midnight Scenes: From the Woods,"Adventure, Indie",$4.99,Octavi Navarro,Feb 9 2023,n/a,85.0,145
Doorways: Holy Mountains of Flesh,"Action, Adventure, Indie",$19.99,Saibot Studios,Aug 10 2016,n/a,75.0,106
Ramify,"Casual, Indie",$2.99,Create Something Interesting,Apr 21 2017,n/a,86.0,38
Inklings,"Action, Casual, Indie, Strategy, Free To Play",Free To Play,Applepine Games,Oct 6 2016,n/a,80.0,21
BattleBeasts,"Action, Adventure, Indie, Massively Multiplayer, Simulation, Early Access",$4.99,Oleg Shestoperov,May 10 2021,n/a,17.0,41
The Trench,"Action, Adventure, Indie",$3.99,"Omar Chapa Hernandez, Omar Chapa Moyers",Oct 12 2022,n/a,85.0,120
The Hurricane of the Varstray -Collateral hazard-,"Action, Indie",$9.99,Studio SiestA,Dec 21 2015,n/a,75.0,190
Big Bang West,"Casual, Indie, Strategy",$4.99,Pavel Tovarys,Jun 8 2021,n/a,90.0,10
Idling Gears,Casual,$4.99,guilemus,Nov 7 2023,n/a,69.0,267
A Wake Inn,"Action, Adventure, Indie",$19.99,VR Bros,Feb 25 2021,n/a,58.0,36
Bitty Engine,"Animation & Modeling, Design & Illustration, Education, Utilities, Game Development",$14.99,Tony Wang,Mar 17 2021,n/a,85.0,27
7 Wonders of the Ancient World,"Casual, Strategy",$6.99,MumboJumbo,Feb 18 2014,n/a,85.0,70
Village of Zombies,"Action, Adventure, Indie",$6.99,Marco Games,May 6 2022,n/a,83.0,36
Lurk in the Dark : Prologue,"Action, Free To Play, Indie",Free To Play,IDEA FRUITION,Nov 8 2019,n/a,88.0,2068
Switch - Or Die Trying,"Adventure, Indie",$6.99,Threye Interactive,Mar 7 2017,n/a,60.0,10
Pushing Through...,"Adventure, Free To Play, Indie",Free To Play,Hunters Game Dev,Sep 21 2018,n/a,80.0,26
Knights of the Chalice,"Indie, RPG",$19.99,Heroic Fantasy Games Dot Com,Aug 10 2009,n/a,87.0,85
Battlerite,"Action, Free To Play",Free To Play,Stunlock Studios,Nov 8 2017,n/a,84.0,59330
DYSCHRONIA: Chronos Alternate - Dual Edition,"Action, Adventure",$34.99,"IzanagiGames, MyDearest Inc.",Mar 27 2024,n/a,87.0,41
Toy Shire: Room One,"Action, Strategy, Free To Play",Free,Bluespy Studios,Mar 13 2024,n/a,94.0,1161
Radio Free Europa,"Action, Indie",$7.99,Scott McClusky,Jan 4 2024,n/a,100.0,10
Dark Parables: Curse of Briar Rose Collector's Edition,"Adventure, Casual",$9.99,Blue Tea Games,Sep 9 2016,n/a,83.0,83
Beat Hazard 2 - Original Sound Track,"Action, Casual, Indie",$1.99,Cold Beam Games,Oct 3 2018,n/a,91.0,12
RC Rush,"Action, Racing, Sports",$19.99,"Tea Monster Games, 4 Fun Studio",Jan 27 2022,n/a,92.0,26
MIRO Demo,"Adventure, Casual, Indie",[],Lost Saved Data_,Oct 7 2024,n/a,100.0,17
Oppai Samurai: Knocked up by a No Name Novice,Casual,$11.99,Miel,May 19 2023,n/a,66.0,18
Candy Golf,"Adventure, Casual, Indie",$1.99,Candy games studios,Jun 27 2024,n/a,80.0,10
Journey to Incrementalia,"Adventure, RPG, Strategy",$4.99,Adam Travers,Oct 23 2024,n/a,90.0,181
RaySupreme 3D,Animation & Modeling,Free,BrainDistrict,Dec 16 2013,n/a,40.0,52
ZIC: Survival,"Action, Indie, Simulation",$4.99,Megame LLC,Jun 18 2019,n/a,63.0,33
Criminal Expert,"Adventure, Casual, Simulation",$9.99,Forever Entertainment S. A.,Jan 13 2023,n/a,30.0,13
The Wandering Corinne,"Action, Adventure",$8.99,ankoku marimokan,Jul 18 2024,n/a,43.0,60
Deus Ex: Mankind Divided™ - VR Experience,"Action, RPG",Free To Play,Eidos Montreal,Jan 24 2017,n/a,49.0,291
Everlasting: Tomorrow,Indie,$9.99,slugstart,Sep 23 2024,n/a,100.0,10
Silent Hope,"Action, RPG",$39.99,Marvelous Inc.,Oct 3 2023,n/a,67.0,205
Next Day: Survival,"Action, Indie, RPG",$9.99,SOFF Games,May 21 2018,n/a,62.0,8673
Strike Suit Zero: Director's Cut,"Action, Indie",$19.99,Born Ready Games,Apr 8 2014,n/a,82.0,334
Verto Studio VR,"Animation & Modeling, Design & Illustration, Game Development",$19.99,Verto Studio LLC,Jul 20 2017,n/a,85.0,14
Heroes of Book & Paper,"Adventure, Indie, RPG",$6.99,Lagartija Software,Jun 18 2023,n/a,100.0,19
Raifu Wars,"Indie, Strategy, Free To Play",Free To Play,Yotis Studios,Jun 9 2020,n/a,88.0,86
真实幻象 / Behind The Truth,Action,$3.99,橙光游戏,Feb 13 2018,n/a,86.0,59
Space Elite Force,"Action, Casual, Indie",$2.99,Rising Moon Games,May 17 2018,n/a,90.0,147
Beetle Uprising,"Indie, Simulation, Strategy",$9.99,"Iocane Games, LLC",Nov 5 2020,n/a,75.0,73
Crookz - The Big Heist,"Simulation, Strategy",$9.99,Skilltree Studios,Aug 25 2015,n/a,85.0,209
Armored Fist 3,Simulation,$9.99,NovaLogic,Sep 1 1999,n/a,76.0,72
Cybernetic Fault,"Action, Adventure, Indie, Simulation, Early Access",$24.99,Whale Rock Games,Sep 24 2020,n/a,81.0,161
Warlock's Tower,Indie,$9.99,Midipixel,Jan 31 2017,n/a,95.0,21
Akihabara - Feel the Rhythm,"Action, Indie",$4.99,JMJ Interactive,Jan 26 2017,n/a,72.0,36
New Witch in Town,"Action, Casual, Indie, RPG",$8.99,Choice of Games,Jan 26 2023,n/a,16.0,12
SEDOMAIRI / せどまいり,"Action, Indie",$4.99,TenkaiGames,Aug 1 2021,n/a,88.0,17
Mortanis Prisoners #1,"Action, Adventure, Indie, Early Access",$11.10,Honor Games,Jun 30 2023,n/a,72.0,18
The Martian Job,"Adventure, Indie, RPG",$4.99,Choice of Games,Oct 5 2018,n/a,50.0,10
World's End Club,"Action, Adventure, RPG",$19.99,"IzanagiGames, Too Kyo Games, Grounding Inc., ESQUADRA,inc.",Nov 30 2021,n/a,71.0,164
Firefighter Connor,"Indie, RPG",$8.99,XSSPACE,Apr 30 2024,n/a,92.0,367
Space Crafting,"Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access",$199.99,Aztech,May 19 2022,n/a,31.0,32
Humanity Must Perish,"Casual, Free To Play, Indie, Simulation",Free,Zetsubou,Sep 25 2017,n/a,82.0,252
Saw Lab,"Action, Adventure, Casual, Indie",$1.99,Corrupt3D,Mar 20 2024,n/a,57.0,14
3D PUZZLE - Breaking Bed,"Action, Adventure, Casual, Indie, Racing, RPG, Simulation, Sports, Strategy",$199.99,PUZZLE Games,Dec 26 2023,n/a,78.0,14
Greedy Bubble,Casual,$2.99,lemoniedev,Jun 7 2021,n/a,100.0,11
Creeping Deck: Pharaoh's Curse,"Action, Adventure, Indie, RPG, Strategy, Early Access",$14.99,BlanketGames,May 9 2023,n/a,66.0,21
Frontline: Panzer Blitzkrieg!,"Action, Indie, Simulation, Strategy",$9.99,Frontline: Games Series,Mar 6 2020,n/a,86.0,89
Manny Boxing VR,"Sports, Early Access",$14.99,Appnori Inc.,May 27 2022,n/a,54.0,35
Will Fight for Food: Super Actual Sellout: Game of the Hour,"Action, Indie, RPG",$4.99,Pyrodactyl,Apr 22 2015,n/a,53.0,30
My Special Summer Vacation 2,"RPG, Simulation",$14.99,P.+,Jun 27 2024,n/a,68.0,72
Nevrosa: Primal Ritual,"Action, Adventure, Indie, RPG",$19.99,GexagonVR,Nov 22 2019,n/a,56.0,23
Death Below,"Action, Adventure",$9.99,Soft,Dec 15 2022,n/a,57.0,64
TAXINAUT,"Adventure, Indie, RPG, Simulation, Early Access",$12.99,mosgrom,Sep 15 2022,n/a,93.0,16
Super Lobster Run,"Action, Adventure, Casual, Indie, Racing, Simulation",$0.99,Volens Games,Apr 29 2020,n/a,96.0,26
PWND,"Action, Casual, Free To Play, Indie",Free To Play,Skydance Interactive,Apr 6 2018,n/a,70.0,885
Shank,"Action, Indie",$9.99,Klei Entertainment,Oct 25 2010,n/a,90.0,2598
Farming Simulator 15,Simulation,$12.99,Giants Software,Oct 30 2014,n/a,92.0,12667
Short Circuit,"Action, Casual, Indie, Free To Play",Free To Play,ESFNoob,May 1 2023,n/a,71.0,14
Bee Simulator,"Adventure, Casual, Simulation",$19.99,VARSAV Game Studios,Nov 17 2020,n/a,80.0,515
The Interactive Adventures of Dog Mendonça & Pizzaboy®,Adventure,$14.99,OKAM Studio,Mar 3 2016,n/a,81.0,137
BridgeTeam: Ship Simulator,"Simulation, Early Access",$29.99,Enrych Media Ltd.,Jan 2 2022,n/a,41.0,12
Siren Head: The Horror Experience,"Adventure, Indie, Free To Play",Free To Play,Thomas JC Ironmonger,Nov 23 2022,n/a,71.0,309
Typed82,Indie,$9.99,Beardman Studios,Feb 24 2021,n/a,100.0,10
Subterror,"Action, Adventure, Indie, Early Access",$7.99,Team Monumental,Oct 11 2024,n/a,100.0,37
Simon the Sorcerer: 25th Anniversary Edition,Adventure,$8.99,"MojoTouch, Adventure Soft",Apr 3 2018,n/a,75.0,112
Traurig Secrets: Prologue,"Casual, Indie",$1.99,Nebereal's,Aug 28 2020,n/a,75.0,12
Griftlands,Indie,$19.99,Klei Entertainment,Jun 1 2021,n/a,94.0,12857
Azure,"Action, Free To Play, Indie, RPG",Free To Play,Hongke Luo,May 5 2020,n/a,93.0,72
