Game Title,Game Genre,Pricing,Publisher,Release Date,Platform,Rating,Number of Ratings
AimGoGoGo,"Action, Casual, Indie, Simulation, Sports",$4.99,FeiWu Studio,Aug 22 2021,n/a,91.0,12
Galaxy Pass Station,"Adventure, Casual, Indie, Simulation, Strategy",$13.99,Galactic Workshop,Sep 13 2023,n/a,91.0,171
Time Break 2121,"Action, Casual, Indie, Strategy",Free,ACRAM STUDIOS LLC,Aug 20 2019,n/a,48.0,29
BomberZone,"Action, Casual, Indie",$0.99,Dracula Bytes,May 27 2016,n/a,77.0,71
Dream Rhythm,"Casual, Indie, Racing, RPG",$3.99,Naku Kinoko,Oct 23 2024,n/a,96.0,55
Hot Therapy,"Indie, RPG, Simulation",$14.99,YummySoft,Mar 24 2024,n/a,73.0,99
Queenchantment,"Action, Adventure, Indie, Strategy, Early Access",$4.99,Lost Tales Studio,Mar 3 2022,n/a,73.0,15
An Imp? A Fiend!,"Action, Adventure, Indie",$0.99,Blaze Epic,Mar 16 2015,n/a,56.0,25
Train Operator 377,Simulation,$11.99,Heliosphere Software,May 29 2023,n/a,81.0,37
Hot Secretary Puzzle,"Casual, Indie",$1.99,NFK Games,Mar 31 2023,n/a,88.0,17
Andromeda One Zombies,"Action, Free To Play, RPG",Free,Yann GEFFROTIN,Jul 15 2020,n/a,46.0,64
TorqueL,"Action, Indie",$4.99,"Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com, sanodg (Nobuyoshi Sano), FullPowerSideAttack.com",Jan 22 2015,n/a,87.0,32
Uncle Z,"Action, Simulation, Early Access",$7.99,Tairound Games,Jun 7 2024,n/a,100.0,16
Story Of the Survivor,"Action, Adventure, Indie, RPG, Simulation",$2.99,"Kamil Szczepanik, Bartosz Zajkowski",Feb 17 2016,n/a,47.0,17
IN THE BUILDING: CATS,"Adventure, Casual, Indie",$1.99,Laush Dmitriy Sergeevich,Nov 16 2022,n/a,83.0,98
Antisquad,"Action, Adventure, Strategy",$5.99,InsGames,Oct 31 2014,n/a,56.0,131
The Stanley Parable,"Adventure, Indie",$14.99,Galactic Cafe,Oct 17 2013,n/a,92.0,39208
BeadsPopper,"Casual, Indie, RPG",$3.99,T.F.A.N.C.S.,Aug 4 2023,n/a,83.0,12
Dimensions: Dreadnought Architect,"Simulation, Strategy, Early Access",$15.99,Craft Theory,Feb 1 2023,n/a,60.0,169
illWill,"Action, Indie",$19.99,Slava Bushuev,Apr 13 2023,n/a,93.0,195
Square Logic,"Casual, Indie, Strategy",$2.99,New Dawn Game Studio,Dec 14 2023,n/a,97.0,44
Toxic Bunny HD,"Action, Adventure, Indie",$5.99,Celestial Games,Jul 18 2014,n/a,57.0,14
Hidden Futa,Casual,$0.99,Cute Pen Games,Jan 23 2023,n/a,40.0,15
Demigod,"Action, Indie, RPG, Strategy",$9.99,Gas Powered Games,Dec 14 2011,n/a,75.0,929
Trap for the Heir,"Adventure, Casual, Indie",$8.99,MariLuzaria,Sep 20 2024,n/a,100.0,11
Colonial Conquest,"Indie, Simulation, Strategy",$9.99,"Argonauts Interactive, Collectif Nemoïd",Jul 28 2015,n/a,60.0,203
Gachi Gang,"Adventure, Casual, Indie",$0.99,"Nikita ""Ghost_RUS""",May 27 2018,n/a,59.0,22
Fair Deal: Las Vegas,"Action, Indie",$8.99,Gronzragüer Games,Dec 21 2018,n/a,100.0,12
Driftwood,"Action, Adventure, Casual, Indie, Racing, Simulation, Sports, Early Access",$11.99,Stoked Sloth Interactive,Jun 1 2023,n/a,96.0,770
Hunt for Junk,"Action, Adventure, Casual, Indie, Free To Play",Free To Play,Bossforge,Jun 23 2022,n/a,91.0,58
I NEED A NAME,"Adventure, Casual, Indie",$3.99,Gestmorph Games,Feb 24 2022,n/a,81.0,11
Germination,"Action, Indie",$3.99,Sullivan Boyd & Cadence Petersen,Apr 12 2018,n/a,57.0,19
PUSSY 2,"Casual, Indie, Sports",$0.99,Cyber Keks,Mar 22 2019,n/a,79.0,127
One Military Camp,"Indie, Simulation, Strategy",$24.99,Abylight Barcelona,Jul 20 2023,n/a,77.0,550
CSOL,"Massively Multiplayer, RPG",Free To Play,FPS OL,Aug 4 2023,n/a,46.0,65
Bloody Painter Dating Sim,"Indie, RPG, Simulation, Free To Play",Free To Play,DeluCat,Oct 10 2024,n/a,97.0,213
Lockheart Indigo,"Adventure, Indie, RPG",Free To Play,Fangsoft,Jul 31 2020,n/a,99.0,124
Urlaubsflug Simulator – Holiday Flight Simulator,"Casual, Simulation",$14.99,Caipirinha Games,Apr 13 2017,n/a,57.0,107
Lucky Tower Ultimate,"Action, Adventure, Indie, RPG, Early Access",$14.99,Studio Seufz,Sep 13 2024,n/a,91.0,555
Duck Life 6: Space,"Casual, Indie, Racing, Simulation, Sports",$3.99,Wix Games,May 4 2017,n/a,83.0,125
Harvest Moon: Mad Dash,Casual,$19.99,Appci Inc.,Nov 17 2019,n/a,60.0,10
Along the Edge,Indie,$13.99,Nova-box,Oct 12 2016,n/a,90.0,308
Sword Art Online: Lost Song,RPG,$19.99,Artdink,Nov 12 2018,n/a,80.0,1671
My love with the GirlsGroup,"Adventure, Casual, RPG, Simulation",$25.50,Bing World,Apr 17 2024,n/a,69.0,72
MineFight,"Action, Free To Play, Indie",Free To Play,Talpel Games,Sep 23 2017,n/a,32.0,146
Dreii,Indie,$5.99,Etter Studio,Feb 2 2016,n/a,40.0,10
Tavern Cards,"Action, Adventure, Simulation, Strategy",$4.99,Vadd Game,Feb 25 2020,n/a,78.0,146
Viscerafest,"Action, Indie, Early Access",$14.99,"Acid Man Games, Fire Plant Games",May 20 2021,n/a,91.0,424
Bug Heroes: Tower Defense,"Action, Strategy",$9.99,Foursaken Media,Apr 4 2024,n/a,87.0,24
Cubidle,"Indie, Simulation",$9.99,MEDIUM QUALITY GAMES,Jul 29 2024,n/a,25.0,12
Metal March: Beginner Experience,"Indie, Strategy",Free,BlueTale,Jan 24 2023,n/a,100.0,12
Rock God Tycoon,"Casual, Indie, Simulation",$10.99,"Fern Nigro, Panos Tzimas",Feb 13 2017,n/a,72.0,278
Special Warfare - 特战之王,"Action, Adventure, Casual, Indie, Massively Multiplayer",$2.99,battle fire studio,Aug 29 2018,n/a,63.0,73
She Fell Off,Indie,Free To Play,Oliver Nelson,Aug 15 2023,n/a,42.0,21
Screeps: Arena,"Indie, Simulation, Strategy, Early Access",$19.99,"Screeps, LLC",Apr 7 2022,n/a,84.0,70
Bonds,"Casual, Indie, Simulation",$5.99,DID Games,Dec 12 2017,n/a,95.0,107
On the front line,"Indie, Simulation",$0.99,Alekseev,Oct 20 2016,n/a,58.0,97
SAND LAND,"Action, RPG",$59.99,"ILCA, Inc.",Apr 25 2024,n/a,86.0,684
D3D INSIDE,"Action, Adventure, Indie",$4.99,Oblom studio,Nov 6 2019,n/a,83.0,43
Silicon Valley Investor,"Casual, Indie, Simulation, Strategy",$2.99,Revolver Nine,Nov 18 2020,n/a,84.0,13
NVIDIA® VR Funhouse,"Casual, Free To Play",Free To Play,Lightspeed Studios™,Jul 14 2016,n/a,79.0,843
Wild West Dynasty: The New Hope Gazette,Education,Free,"Moon Punch Studio, BILDNER Verlag",Aug 23 2022,n/a,70.0,17
Ringlorn Saga Gaiden,"Action, Adventure, RPG",$4.99,Graverobber Foundation,Aug 14 2024,n/a,93.0,16
WIN THE GAME: DO IT!,"Action, Casual, Indie",$0.99,AFBIK Studio,May 2 2018,n/a,74.0,157
Project Grove: Prologue,"Adventure, Indie",Free,Antler Studios,Sep 11 2021,n/a,72.0,44
Bikini Tits,Adventure,$24.99,Apadash,Dec 16 2021,n/a,72.0,22
LOST SPHEAR,"Action, Adventure, RPG",$49.99,Tokyo RPG Factory,Jan 23 2018,n/a,55.0,150
VIRUS 91,"Adventure, Casual, Indie",$29.99,Mikki-Boi,Dec 4 2023,n/a,69.0,13
Super Laura Up,Action,$2.99,zelun_,Jan 6 2024,n/a,91.0,24
The Great War: Western Front™,Strategy,$34.99,Petroglyph,Mar 30 2023,n/a,68.0,2184
Fearful Symmetry & The Cursed Prince,"Casual, Indie",$9.99,Gamera Interactive,Dec 12 2017,n/a,80.0,30
GENIUS VS ANTICHRIST 1,"Adventure, Indie, RPG",$4.99,WFG STUDIO,Oct 28 2022,n/a,93.0,30
TOHU,"Adventure, Indie",$14.99,Fireart Games,Jan 28 2021,n/a,85.0,290
Burn Me Alive,"Adventure, Indie",$9.99,"Davit Galoyan, Arshak Khachatryan",Sep 1 2021,n/a,61.0,34
Dymension:Scary Horror Survival Shooter,"Action, Adventure, Indie",$4.99,GameToTop,Mar 3 2022,n/a,35.0,17
Melody of Seasons,"Indie, RPG, Simulation, Early Access",$14.99,Hipsterdufus,Nov 1 2023,n/a,90.0,11
Imperatum,"Action, Adventure, Casual, Indie, RPG",$19.99,Pro Social Games,Jul 16 2018,n/a,23.0,13
Crystal Caves,Action,$4.99,Apogee Software,Oct 23 1991,n/a,97.0,75
Aesthetic Clicker,Casual,$0.99,Gh6st,Aug 6 2024,n/a,86.0,36
Megapolis,"Casual, Indie, Simulation",$4.99,Lonely Troops,Sep 3 2010,n/a,75.0,98
Samantha Swift and the Golden Touch,Casual,$9.99,MumboJumbo,Apr 29 2009,n/a,33.0,30
Weaving Tides,"Action, Adventure, Indie",$24.99,Follow the Feathers,May 27 2021,n/a,86.0,45
Burst Into,"Action, Indie, Massively Multiplayer, Early Access",$0.99,ARGames,Apr 4 2018,n/a,72.0,22
Substitute Priest,"Adventure, Indie",$3.99,Janne,Oct 31 2023,n/a,90.0,22
Vespa's Test,"Casual, Indie, Simulation",Free,Lepisoft,Aug 2 2022,n/a,95.0,45
Bird Game,"Action, Adventure, Indie",$2.99,Bryan Tabor,Feb 22 2018,n/a,77.0,40
Undercover Missions: Operation Kursk K-141,Adventure,$9.99,The Game Species,Dec 11 2015,n/a,40.0,40
Extreme School Driving Simulator,"Casual, Indie, Racing, Sports",$2.99,A Nostru,Feb 6 2019,n/a,68.0,58
Maze Of Adventures,"Adventure, Casual, Indie, Early Access",$9.99,"OCP, Yuri Chuchmay",Jan 17 2018,n/a,93.0,16
Nameless ~The one thing you must recall~,Simulation,$29.99,"Sujin Ri, Yunjeong Yun, Hyein Go, Minsu Ock, Marcos Arroyo, Seona Lee, Sohyeon Jeon",Nov 11 2013,n/a,92.0,619
A.V.,"Adventure, Indie",Free,FirstForever Studios,Feb 13 2015,n/a,62.0,32
Age of Wonders II: The Wizard's Throne,"RPG, Strategy",$9.99,Triumph Studios,Oct 2010,n/a,83.0,279
İfrit,Adventure,$1.99,KAYDEM Games,Sep 3 2022,n/a,25.0,28
Fight For Eden,"Action, Free To Play, Indie, RPG",Free,Andonis Gaja,Dec 18 2020,n/a,56.0,16
The Leak,"Adventure, Casual, Indie, Free To Play",Free To Play,Fatih Mert,Nov 1 2023,n/a,90.0,32
Fallen,"Casual, RPG, Strategy",Free To Play,Main Street Games,Dec 11 2023,n/a,83.0,12
The Necromancer Cometh! TD,"Action, Indie, Strategy, Early Access",$11.99,Dang Rascals Studio LLC,Mar 18 2024,n/a,100.0,22
Lotus Lantern: Rescue Mother,"Action, Adventure, Indie, RPG",$9.99,Unstable Games,Apr 11 2024,n/a,76.0,559
Loops of Zen,"Casual, Indie",$2.99,"Strength in Numbers Studios, Inc",Aug 10 2017,n/a,85.0,21
OPEC IDLE,"Casual, Indie, Strategy",$1.99,grin robot,Oct 6 2020,n/a,56.0,23
Shatris: Infinite Puzzles,"Casual, Indie",$2.99,Khud0,Dec 18 2020,n/a,100.0,16
Terra Incognita Chapter One: The Descendant,"Adventure, Indie, RPG, Early Access",$1.99,Back To Basics Gaming,Feb 3 2015,n/a,68.0,753
Lagoon Lounge 2 : The Secret Roommate,"Casual, Indie",$13.99,KAIJYU-09,Jan 26 2024,n/a,99.0,103
Backwater Eulogy,Indie,$1.99,Wurm Fud,Aug 26 2024,n/a,100.0,29
Planet Centauri,"Action, Adventure, Indie, RPG, Early Access",$14.99,Permadeath,Jun 3 2016,n/a,80.0,1714
Death From Above,Simulation,$9.99,Rockodile,Feb 22 2024,n/a,91.0,379
Telestians,"Indie, Strategy",$9.99,Lucid LX LLC,Jun 16 2022,n/a,90.0,21
Poached : Hunt The Hunter,"Action, Adventure, Early Access",$2.99,Ingozi Games,Aug 26 2023,n/a,96.0,63
Talisman: Digital Edition,"Indie, RPG, Strategy, Free To Play",Free To Play,Nomad Games,Feb 25 2014,n/a,78.0,9404
Gemstones,"Casual, Free To Play",Free To Play,Spike Studio,Jan 24 2023,n/a,93.0,15
Jey's Empire,"RPG, Simulation, Strategy",$14.99,Maestro Cinetik,Oct 15 2019,n/a,92.0,42
My Stunt Life,"Casual, Indie, Racing, Simulation",$1.99,RewindApp,May 2 2019,n/a,81.0,164
Skullborn,"Adventure, Massively Multiplayer, Early Access",$8.99,Snubber,Nov 4 2022,n/a,76.0,56
SpellForce 3 Soul Harvest,"RPG, Strategy",$19.99,Grimlore Games,May 28 2019,n/a,84.0,1876
Base One,Simulation,$24.99,PixFroze,May 11 2021,n/a,38.0,442
The Away Team: Lost Exodus,"Adventure, Indie, Simulation",$8.00,Underflow Studios,Jul 22 2016,n/a,70.0,58
Dungeon Manager ZV,"Simulation, Strategy",$9.99,StudioGIW,Oct 16 2015,n/a,60.0,55
Smoking Simulator,"Casual, Indie, Simulation",$0.99,Ghost_RUS Games,Dec 1 2023,n/a,86.0,38
"Double Cheeseburger, Medium Fries","Casual, Free To Play, Indie, Simulation",Free,Lunaris Aeterna,Jul 3 2023,n/a,96.0,178
Shop Legends,"Adventure, Casual, RPG, Simulation, Strategy",Free To Play,Cloudcade,Feb 3 2024,n/a,43.0,137
The Last Starship,"Indie, Simulation, Strategy, Early Access",$29.99,Introversion Software,Feb 15 2023,n/a,76.0,415
NEOTOKYO,"Action, Free To Play",Free,STUDIO RADI-8,May 1 2014,n/a,72.0,2753
Puzzle Girls: Cute,"Casual, Indie, RPG, Simulation, Strategy",$1.99,Dharker Studios,Jul 22 2020,n/a,71.0,14
Maze Of Adventures,"Adventure, Casual, Indie, Early Access",$9.99,"OCP, Yuri Chuchmay",Jan 17 2018,n/a,93.0,16
Edge of Dreams,"Action, Adventure, Early Access",$14.99,StoneBlade,Jun 8 2020,n/a,95.0,22
Heaven Will Be Mine,Indie,$14.99,"Pillow Fight, Worst Girls Games",Jul 25 2018,n/a,93.0,521
Simantik,"Action, Adventure, Indie, RPG",$8.99,Steel Thunder,Jul 24 2023,n/a,68.0,16
Sable's Grimoire,"Casual, Indie, Simulation",$14.99,Zetsubou,May 18 2018,n/a,96.0,127
Mika and The Witch's Mountain,"Action, Adventure, Casual, Indie, Early Access",$19.99,"Chibig, Nukefist",Aug 21 2024,n/a,90.0,184
Honored,"Action, Adventure, Free To Play, Indie, RPG",Free To Play,"Trevor Babcock, Liam Crowley, James Clingan, Demetrious Reed, Paul Howald",Feb 4 2022,n/a,70.0,34
Cursed Armor,"Adventure, Casual, Indie, RPG, Strategy",$9.99,GameCrafters,Nov 14 2018,n/a,91.0,597
Heroes of Might & Magic V: Tribes of the East,Strategy,$9.99,Nival,Oct 16 2007,n/a,92.0,2565
Roboquest,"Action, Indie",$24.99,RyseUp Studios,Nov 7 2023,n/a,95.0,14818
A Difficult Game About Climbing,"Action, Adventure",$9.99,Pontypants,Mar 6 2024,n/a,87.0,3629
Seeker,"Adventure, Casual, Free To Play, Indie, Strategy",Free,Sheer Studios,Dec 31 2018,n/a,89.0,658
77th: The Game,"Adventure, Indie",Free To Play,Lavatsj Games,Jan 17 2024,n/a,67.0,37
18+ MEMORY,"Casual, Indie",$0.99,NL Studio,Jan 31 2020,n/a,71.0,63
Super Seducer : How to Talk to Girls,"Adventure, Casual, RPG, Simulation, Strategy",$12.99,RLR Training Inc,Mar 6 2018,n/a,83.0,1521
WolfQuest: Classic,"Indie, RPG, Simulation",$19.99,eduweb,Nov 17 2015,n/a,91.0,1368
Samurai Slaughter House,"Action, Adventure, RPG, Early Access",$29.99,Tab Games,Mar 31 2023,n/a,40.0,49
Pro Show Jumping,"Indie, Simulation, Sports",$19.99,PSJ Studios,Feb 22 2024,n/a,80.0,15
Hell Architect: Prologue,"Free To Play, Indie, Simulation, Strategy",Free,Woodland Games,Jun 9 2021,n/a,81.0,840
Beat The Machine: Rebooted,"Action, Indie",$19.99,Sanguine Studios,Jul 14 2020,n/a,100.0,11
Diamond Hands: To The Moon,"Adventure, Casual, Indie, Strategy",$7.99,Terror Dog Studio,Sep 23 2021,n/a,83.0,12
Bargue,"Action, Casual, Indie, RPG, Strategy, Early Access",$1.99,Evenmore Games,Jun 17 2022,n/a,100.0,11
Potion Permit,"Action, Adventure, Casual, RPG",$19.99,MassHive Media,Sep 22 2022,n/a,79.0,3373
Show Must Go On,"Casual, Indie",$14.99,NiVision,Mar 9 2017,n/a,78.0,38
Subsistence,"Action, Early Access",$13.99,ColdGames,Oct 25 2016,n/a,72.0,11421
Trailer Shop Simulator,"Action, Indie, Simulation",$19.99,GidAzGames,Jul 21 2021,n/a,73.0,216
Disturbing Forest: Demon's Path,"Adventure, Indie",Free To Play,Panteon Studio,Jul 22 2021,n/a,57.0,14
Striving for Light,"Action, Adventure, Casual, Indie, RPG, Early Access",$14.99,Igniting Spark Games,Nov 29 2021,n/a,75.0,66
Coffee Talk Episode 2: Hibiscus & Butterfly,"Adventure, Casual, Indie, Simulation",$14.99,Toge Productions,Apr 20 2023,n/a,97.0,1861
DanSparkling,"Casual, Indie, Simulation, Sports, Early Access",$17.99,"Uniflex Co., Ltd.",Jun 13 2023,n/a,66.0,12
Bunny Eureka,"Casual, Indie, Simulation, Strategy, Early Access",$2.99,Li Min,Oct 20 2022,n/a,95.0,24
Wolfsong,"Adventure, Casual, Indie, RPG",$1.50,Hyptosis,Jan 29 2016,n/a,63.0,11
State of Anarchy,"Action, Casual, Indie, Simulation",$1.99,Lapovich,Apr 27 2016,n/a,85.0,843
Immortal Heroes,"Adventure, Casual, Indie",$0.99,azimuth team,Nov 24 2017,n/a,40.0,15
CosmicBreak Universal,"Action, Massively Multiplayer, RPG, Free To Play",Free To Play,"CyberStep, Inc.",Dec 1 2008,n/a,56.0,1299
Grave Mania: Undead Fever,"Casual, Strategy",$6.99,Anino Games,Apr 28 2016,n/a,100.0,10
Fright Night Sex Fest,Simulation,$9.99,SinVR,Dec 18 2020,n/a,61.0,26
Higurashi When They Cry Hou - Ch.7 Minagoroshi,Adventure,$7.99,07th Expansion,Jul 18 2019,n/a,96.0,442
Hogvalord,"Indie, RPG, Simulation, Strategy",$10.99,Thap Tam,Dec 27 2021,n/a,47.0,17
She Remembered Caterpillars,Indie,$11.99,jumpsuit entertainment UG (haftungsbeschränkt),Jan 17 2017,n/a,96.0,155
OCTOPATH TRAVELER II,RPG,$59.99,"Square Enix, ACQUIRE Corp.",Feb 24 2023,n/a,94.0,9687
Lunistice,"Action, Adventure, Indie",$4.99,A Grumpy Fox,Nov 10 2022,n/a,96.0,1456
Stab,"Action, Adventure, Indie, Strategy",$1.99,616 GAMES,Sep 2 2023,n/a,76.0,13
Angry Bunny 3: Virus,"Adventure, Casual, Indie",$2.99,"Tero Lunkka, Valkeala Software, Black Thug",May 4 2020,n/a,95.0,21
Roxy Raccoon,Adventure,$9.99,Sinomod Studios,Oct 15 2021,n/a,91.0,23
Penumbra: Black Plague Gold Edition,"Action, Adventure, Indie",$9.99,Frictional Games,Jan 23 2009,n/a,93.0,2436
Perfect Ninja Painter,"Adventure, Casual, Indie",$4.99,SilenGames,Dec 18 2023,n/a,100.0,12
Age of Empires IV: Anniversary Edition,Strategy,$39.99,"Relic Entertainment, Forgotten Empires, Climax Studios, World's Edge",Oct 28 2021,n/a,86.0,54784
AKAI NOROI,Indie,$12.99,Aza Game Studio,Jul 24 2020,n/a,40.0,22
I made a FEMBOY SQUIRT!,Adventure,$0.99,owlyboi,Apr 9 2024,n/a,90.0,65
Apocalyptic cat,Casual,$29.99,Galactic Geckon,Jun 14 2024,n/a,88.0,50
Alchemy Emporium,"Indie, Simulation, Strategy",$18.99,"Curtel Games, Xteam software solutions",May 26 2021,n/a,50.0,16
Find Cats With Friends,"Casual, Indie, Simulation",$0.99,Vladislav Borovic,Mar 14 2024,n/a,84.0,25
The Darkest Woods 2,"Adventure, Indie",$2.99,teamsupport,Nov 8 2018,n/a,84.0,25
The Outforce,Strategy,$9.99,"O3 Games, Starbreeze Studios, ZOOM Platform Media, Jordan Freeman Group",Jan 6 2024,n/a,91.0,12
The Heroic Legend of Eagarlnia,"Indie, Strategy",$12.99,HongShou Studio,Apr 13 2022,n/a,85.0,1492
Guard Duty,"Adventure, Indie",$9.99,Headware Games,May 2 2019,n/a,89.0,197
Candy Blast,"Casual, Indie",$4.99,White Rabbit Games,Jun 30 2016,n/a,78.0,57
Spell Swap,"Action, Indie",$6.99,Teagher Studio,Sep 9 2021,n/a,91.0,23
Rocket Skates VR,"Action, Casual, Indie, Racing, Simulation, Sports",$9.99,EpiXR Games UG,Apr 16 2021,n/a,84.0,52
Dracula: The Resurrection,"Adventure, Casual",$4.99,Microids,Apr 17 2014,n/a,52.0,338
Loi The Lover,Adventure,$11.99,Insatiable Game Studio,May 13 2024,n/a,82.0,17
CAFE 0 ~The Sleeping Beast~,"Adventure, Casual, Indie",$16.99,ROSEVERTE MYSTERY,Oct 29 2016,n/a,80.0,42
Doodle Jamboree,Indie,$1.99,Mike Laraman,Sep 26 2017,n/a,92.0,13
Deep Sea Valentine,"Casual, Indie, RPG",$4.99,KigyoDev,Feb 12 2021,n/a,86.0,38
Project Morpheus: Prologue,"Action, Adventure, Indie, RPG, Strategy",Free To Play,Team Ranger,Jan 14 2021,n/a,81.0,531
Jigsaw Puzzles: Master Artists of Old,Casual,Free To Play,Aventale Games,Aug 7 2020,n/a,90.0,11
Builders of Greece: Prologue,"Indie, Simulation, Strategy",Free,"BLUM Entertainment, Strategy Labs",Sep 18 2023,n/a,76.0,566
Cheese Collector,"Casual, Free To Play",Free To Play,Evil Suits,Jul 26 2024,n/a,25.0,24
Level 22: Gary’s Misadventures - 2016 Edition,"Action, Indie",$6.99,Moving Player,Jan 29 2016,n/a,66.0,24
the Dwarf,"Action, Adventure, RPG",$7.99,Endless Entertainment,Apr 21 2024,n/a,50.0,10
Rotatex,"Action, Adventure, Casual, Indie",$9.99,Dnovel,May 30 2019,n/a,92.0,14
Lost Grimoires: Stolen Kingdom,"Adventure, Casual",$14.99,World-Loom,Nov 10 2016,n/a,83.0,181
Forza Motorsport,Racing,$69.99,Turn 10,Oct 9 2023,n/a,42.0,7821
SpaceExile,"Action, Casual, Indie",$4.99,GoodJob,Aug 3 2018,n/a,70.0,20
vrkshop,"Casual, Simulation",$19.99,scopatgames,Dec 18 2021,n/a,84.0,157
Dark Secrets of Showbiz,"Casual, RPG, Simulation",$7.99,"Boru, BananaKing",May 10 2022,n/a,82.0,113
Uriel's Chasm,"Adventure, Casual, Indie",$4.99,Rail Slave Games,Sep 12 2014,n/a,39.0,284
Super Crate Box,"Action, Indie, Free To Play",Free to Play,Vlambeer,Oct 22 2010,n/a,88.0,6508
Ocean Is Home : Island Life Simulator,"Action, Adventure, Indie, Racing, RPG, Simulation, Early Access",$14.99,BirdyDog Studio,Dec 9 2022,n/a,64.0,118
Single Diary: Fresh Graduate,"Adventure, Indie, RPG",$6.99,Themis digital entertainment Co.,Nov 4 2019,n/a,70.0,140
The Leak,"Adventure, Casual, Indie, Free To Play",Free To Play,Fatih Mert,Nov 1 2023,n/a,90.0,32
Contact,"Adventure, Casual, Indie",$0.99,UKZ Arts,Feb 11 2022,n/a,55.0,27
Book of Spells,"Adventure, Casual, Indie, RPG",$39.99,Hardi,May 8 2024,n/a,91.0,12
Photo Quiz - Animals,"Adventure, Casual, Indie, Simulation, Strategy",$0.99,Boogygames Studios,Dec 13 2019,n/a,84.0,13
Unable to Exit 8,"Adventure, Indie, RPG, Simulation",$4.99,Robot,Jul 18 2024,n/a,86.0,130
Mashiroiro Symphony HD -Love is Pure White-,Adventure,$39.99,Palette,May 1 2024,n/a,84.0,207
The Hunt - Rebuilt,"Indie, RPG",Free To Play,Peddler Games,Sep 12 2017,n/a,92.0,28
One Last Day,"Action, Adventure, Indie, Early Access",$12.99,Bloodwolf Studio,Apr 28 2015,n/a,57.0,87
Infinity Wars: Animated Trading Card Game,"Casual, Indie, Strategy, Free To Play",Free to Play,Lightmare Studios,Sep 5 2014,n/a,77.0,3457
Blood of the Werewolf,"Action, Indie",$4.99,Scientifically Proven,May 9 2014,n/a,59.0,401
All Day Dying: Redux Edition,"Action, Indie, Free To Play",Free To Play,Paulo Lopes,Dec 5 2019,n/a,83.0,81
Total Lockdown,"Action, Adventure, Indie, Massively Multiplayer",$5.99,Panzar Studio,Mar 25 2020,n/a,77.0,708
ColdSun,Adventure,Free,student games,Feb 9 2022,n/a,88.0,17
Infinity Tempest,Casual,$0.99,Natal Game Studio,Aug 13 2021,n/a,100.0,12
Catastronauts,"Action, Casual, Indie",$15.99,Inertia Game Studios,Sep 28 2018,n/a,70.0,190
Skill Up!,"Action, Adventure, Casual, Free To Play",Free To Play,Vision Interactive,Mar 8 2024,n/a,73.0,15
Aimlabs,"Action, Adventure, Casual, Indie, Simulation, Free To Play",Free,"State Space Labs, Inc.",Jun 16 2023,n/a,93.0,117766
Crown Gambit Demo,"Adventure, Indie, RPG, Strategy",[],WILD WITS,Nov 5 2024,n/a,100.0,10
Arma 2: Operation Arrowhead,"Action, Simulation, Strategy",$19.99,Bohemia Interactive,Jun 29 2010,n/a,92.0,15999
Mortal Kombat 1,Action,$49.99,"NetherRealm Studios, QLOC",Sep 19 2023,n/a,70.0,20162
THE LAST BLADE 2,Action,$9.99,"SNK CORPORATION, Code Mystics",Nov 17 2017,n/a,91.0,285
Lewd Island,"Adventure, Casual, Indie",$6.90,xRed Games,Feb 22 2021,n/a,67.0,203
WARRIORS OROCHI 3 Ultimate Definitive Edition,"Action, Strategy",$39.99,"KOEI TECMO GAMES CO., LTD.",Jul 12 2022,n/a,88.0,1792
Switch - Black & White,"Casual, Indie",$0.99,Koruka,Jul 21 2018,n/a,96.0,26
Derange,Adventure,$4.99,Dark Gaia Studios,May 28 2020,n/a,65.0,40
Lust Mansion 🔞,"Casual, Indie, RPG, Simulation",$9.99,Lust Desires 🖤,Jun 1 2024,n/a,83.0,100
Deadly Dozen,"Action, Adventure, Casual, Simulation, Sports, Strategy",$9.99,N-Fusion Interactive,Oct 31 2001,n/a,75.0,49
Spectromancer,"Indie, Strategy",$6.99,"Apus Software, Three Donkeys LLC",Oct 15 2008,n/a,86.0,274
Riven (1997),"Adventure, Casual",$5.99,Cyan Worlds Inc,Oct 29 1997,n/a,88.0,1182
Birdsketball,"Action, Indie, Sports",$0.99,Waynetron,Aug 21 2016,n/a,93.0,33
Premortal VR,"Action, Adventure, RPG, Free To Play",Free To Play,Voigon Ltd.,Jul 31 2023,n/a,85.0,20
Streamer Life Simulator,"Action, Adventure, Casual, Indie, Simulation, Strategy",$19.99,Cheesecake Dev,Aug 21 2020,n/a,79.0,6357
Explosive Candy World,"Action, Adventure, Indie",$3.99,"Marcos Game Dev, Brabo Game Creations",Sep 15 2021,n/a,100.0,25
Magma Tsunami,Indie,$0.99,StrangeLight Games,Jun 1 2016,n/a,77.0,18
Collapsed,"Casual, Indie, Free To Play",Free To Play,YuzuGames,Aug 9 2022,n/a,78.0,23
DOOM VFR,Action,$14.99,id Software,Nov 30 2017,n/a,57.0,2127
King Smash,Action,$4.99,8BITLAB,Nov 19 2022,n/a,94.0,19
Asteroid Bounty Hunter,"Action, Adventure, Casual, Indie, RPG",$8.99,EGAMER,Feb 17 2016,n/a,61.0,225
